,Name,PassengerCount
0,新宿,778618
1,池袋,566516
2,東京,452549
3,横浜,420192
4,品川,378566
5,渋谷,370669
6,新橋,277404
7,大宮,255147
8,秋葉原,250251
9,北千住,217838
10,川崎,211896
11,高田馬場,211161
12,上野,187536
13,有楽町,169943
14,立川,167108
15,大崎,164876
16,浜松町,158368
17,田町,154915
18,中野,148789
19,蒲田,145643
20,恵比寿,145319
21,吉祥寺,143313
22,船橋,139109
23,五反田,139030
24,西船橋,138177
25,武蔵小杉,129637
26,柏,125354
27,日暮里,113468
28,国分寺,112800
29,町田,112710
30,戸塚,111725
31,目黒,111655
32,藤沢,108917
33,錦糸町,106164
34,千葉,105807
35,御茶ノ水,105735
36,大井町,104412
37,津田沼,104073
38,神田,103940
39,西日暮里,100917
40,松戸,100831
41,大船,98695
42,四ツ谷,97608
43,三鷹,97413
44,大森,96181
45,赤羽,95851
46,飯田橋,93871
47,浦和,92735
48,仙台,89505
49,荻窪,89491
50,武蔵溝ノ口,85355
51,八王子,85302
52,川口,84231
53,水道橋,83531
54,登戸,81781
55,鶴見,80904
56,舞浜,79063
57,新木場,77874
58,巣鴨,77285
59,新小岩,76565
60,南越谷,75262
61,原宿,74353
62,北朝霞,70895
63,桜木町,70676
64,代々木,69935
65,御徒町,68750
66,武蔵境,68423
67,海浜幕張,67572
68,小岩,66009
69,橋本,65871
70,王子,64797
71,新横浜,63110
72,市ケ谷,62333
73,武蔵小金井,61858
74,平塚,61846
75,市川,61159
76,長津田,61045
77,蕨,60856
78,本八幡,59869
79,南浦和,59828
80,東戸塚,58780
81,亀戸,58136
82,辻堂,57796
83,西川口,57444
84,大塚,57330
85,新浦安,56462
86,茅ケ崎,56149
87,関内,55586
88,浅草橋,54593
89,さいたま新都心,54255
90,国立,54134
91,武蔵浦和,53533
92,菊名,52958
93,北浦和,52872
94,金町,51615
95,高円寺,51388
96,稲毛,50575
97,駒込,48964
98,新大久保,48220
99,田端,47034
100,阿佐ケ谷,45642
101,西荻窪,45214
102,鎌倉,44866
103,亀有,42020
104,上尾,42010
105,中山,41992
106,分倍河原,40913
107,東中野,40855
108,両国,39768
109,鴨居,39187
110,新松戸,39015
111,新秋津,38860
112,淵野辺,38654
113,川越,38491
114,新杉田,38320
115,目白,38179
116,宇都宮,37586
117,新潟,37461
118,十条,36991
119,東神奈川,36690
120,武蔵新城,36524
121,久喜,36021
122,東川口,35749
123,武蔵中原,35044
124,豊田,34844
125,戸田公園,34665
126,小田原,34363
127,南流山,34304
128,八丁堀,34289
129,保土ケ谷,34035
130,板橋,33958
131,蘇我,33831
132,平井,33302
133,東大宮,33023
134,石川町,32899
135,南柏,32668
136,西八王子,32492
137,港南台,32157
138,我孫子,31172
139,東小金井,31093
140,高崎,31012
141,熊谷,30706
142,拝島,30223
143,水戸,30148
144,西国分寺,29658
145,逗子,29282
146,高尾,29270
147,相模原,29191
148,幕張本郷,29017
149,新川崎,28820
150,東浦和,28784
151,取手,27741
152,大久保,27404
153,日野,27219
154,越谷レイクタウン,27090
155,桶川,26312
156,昭島,26311
157,稲田堤,26259
158,与野,26232
159,信濃町,26180
160,馬喰町,25784
161,馬橋,25603
162,鶯谷,25375
163,新八柱,24825
164,北小金,24552
165,宮原,23778
166,下総中山,23778
167,東十条,23769
168,新子安,23451
169,新検見川,22940
170,古淵,22901
171,西千葉,22533
172,南船橋,22528
173,小山,22375
174,あおば通,22345
175,四街道,22053
176,浮間舟渡,21808
177,根岸,21774
178,稲毛海岸,21689
179,北松戸,21667
180,北戸田,21354
181,十日市場,21175
182,都賀,20972
183,蓮田,20912
184,長野,20638
185,新座,20615
186,鎌取,20548
187,洋光台,20465
188,磯子,20260
189,戸田,20166
190,東松戸,20126
191,東船橋,19835
192,鴻巣,19738
193,天王台,19633
194,北柏,19473
195,鹿島田,19245
196,北赤羽,19161
197,成瀬,19140
198,北本,19136
199,千駄ケ谷,19015
200,船橋法典,19012
201,五井,18807
202,新日本橋,18792
203,本郷台,18782
204,矢向,18623
205,大口,18520
206,八王子みなみ野,18356
207,吉川,18122
208,南与野,18089
209,郡山,18071
210,盛岡,17957
211,山手,17459
212,府中本町,17454
213,千葉みなと,17052
214,南千住,16990
215,松本,16597
216,小作,16514
217,福島,16482
218,福生,16360
219,新三郷,16066
220,土浦,16004
221,幕張,15860
222,成田,15797
223,北上尾,15731
224,検見川浜,15558
225,土呂,15514
226,西大井,15473
227,東所沢,15423
228,北府中,15261
229,与野本町,15205
230,甲府,15090
231,籠原,15054
232,西浦和,14883
233,中野島,14841
234,平間,14613
235,三郷,14463
236,綾瀬,14433
237,尻手,14426
238,久地,14057
239,羽村,13893
240,木更津,13752
241,新習志野,13658
242,日進,13653
243,葛西臨海公園,13644
244,河辺,13614
245,二宮,13563
246,古河,13477
247,海老名,13405
248,土気,13390
249,勝田,13383
250,潮見,13265
251,中浦和,13245
252,白岡,13042
253,佐貫,12995
254,牛久,12895
255,名取,12759
256,鴨宮,12735
257,向河原,12651
258,栗橋,12499
259,矢部,12478
260,市川大野,11917
261,八幡宿,11869
262,長岡,11694
263,新小平,11631
264,中神,11373
265,日立,11317
266,三河島,11307
267,茂原,11265
268,本千葉,11258
269,指扇,11154
270,秋田,10779
271,山形,10759
272,相原,10647
273,熱海,10635
274,大網,10521
275,前橋,10490
276,谷保,10377
277,姉ケ崎,10338
278,西府,10248
279,西国立,10223
280,佐倉,10207
281,矢野口,10199
282,本庄,10119
283,小机,10087
284,深谷,10051
285,東鷲宮,10034
286,北与野,10005
287,南仙台,9934
288,西大宮,9696
289,篠ノ井,9636
290,大甕,9522
291,尾久,9487
292,長町,9325
293,北八王子,9255
294,吹上,9146
295,北鎌倉,9051
296,衣笠,8656
297,南古谷,8370
298,荒川沖,8230
299,宿河原,8225
300,君津,8208
301,大磯,8152
302,矢川,8119
303,市川塩浜,7948
304,伊東,7822
305,上中里,7708
306,浜野,7451
307,稲城長沼,7431
308,北鴻巣,7341
309,成田空港,7240
310,秋川,7214
311,岩沼,7205
312,多賀城,7139
313,南多摩,7109
314,厚木,7026
315,常陸多賀,7004
316,誉田,6961
317,東中神,6950
318,新白岡,6929
319,寒川,6904
320,ひたち野うしく,6885
321,西立川,6803
322,行田,6655
323,青梅,6616
324,東青梅,6601
325,久里浜,6558
326,藤代,6478
327,赤塚,6313
328,宮城野原,6275
329,小鶴新田,6242
330,上溝,6182
331,新前橋,6155
332,長浦,6036
333,湯河原,6032
334,いわき,6028
335,国府津,5998
336,伊勢崎,5987
337,八街,5854
338,東飯能,5669
339,石岡,5642
340,南橋本,5572
341,越中島,5502
342,神立,5468
343,中野栄,5437
344,亀田,5378
345,大月,5377
346,白山,5360
347,香川,5354
348,陸前高砂,5345
349,青森,5313
350,空港第２ビル,5292
351,横須賀,5289
352,那須塩原,5226
353,片倉,5205
354,栃木,5169
355,東逗子,5136
356,袖ケ浦,5058
357,上野原,5041
358,東海,4950
359,原当麻,4950
360,石橋,4942
361,古川,4868
362,吉川美南,4811
363,北仙台,4786
364,野木,4777
365,東秋留,4751
366,雀宮,4742
367,二俣新町,4724
368,高麗川,4610
369,岩切,4588
370,弘前,4550
371,牛浜,4539
372,八戸,4505
373,一ノ関,4428
374,武蔵五日市,4428
375,箱根ケ崎,4408
376,上諏訪,4367
377,新津,4341
378,間々田,4320
379,東金,4256
380,陸前原ノ町,4232
381,塩尻,4215
382,小金井,4190
383,湖北,4108
384,愛子,4010
385,福田町,4009
386,桐生,3954
387,佐和,3953
388,物井,3866
389,津田山,3865
390,陸前落合,3845
391,新青森,3824
392,下馬,3803
393,北上,3777
394,軽井沢,3772
395,太子堂,3760
396,茅野,3753
397,西那須野,3731
398,高崎問屋町,3710
399,新町,3708
400,豊栄,3681
401,自治医大,3673
402,佐野,3600
403,新発田,3595
404,酒々井,3580
405,友部,3547
406,東仙台,3524
407,東北福祉大前,3514
408,渋川,3453
409,下館,3405
410,榴ケ岡,3387
411,布佐,3380
412,大河原,3358
413,真鶴,3356
414,船岡,3342
415,石巻,3342
416,足利,3318
417,東照宮,3312
418,花巻,3306
419,武蔵高萩,3301
420,国見,3238
421,岡部,3227
422,岡谷,3227
423,銚子,3203
424,氏家,3164
425,武蔵引田,3138
426,佐原,3127
427,小宮,3096
428,的場,3074
429,十王,3060
430,越後湯沢,3059
431,佐久平,3042
432,矢幅,3025
433,新潟大学前,3011
434,上総一ノ宮,3002
435,新白河,2997
436,笠幡,2979
437,石和温泉,2961
438,本塩釜,2948
439,駒形,2930
440,白石,2928
441,新木,2910
442,金谷川,2905
443,成東,2892
444,塩釜,2879
445,神保原,2868
446,高萩,2846
447,苦竹,2844
448,北茅ケ崎,2839
449,上田,2839
450,加茂,2837
451,矢板,2832
452,槻木,2822
453,内原,2802
454,利府,2766
455,東三条,2733
456,広丘,2693
457,小木津,2691
458,安食,2684
459,韮崎,2682
460,会津若松,2669
461,内野,2655
462,川崎新町,2615
463,小針,2605
464,武蔵増戸,2597
465,北山,2489
466,米沢,2432
467,岡本,2432
468,泉,2425
469,安積永盛,2418
470,東塩釜,2417
471,巻,2394
472,岩手飯岡,2391
473,東千葉,2388
474,黒磯,2378
475,竜王,2355
476,藤野,2339
477,館腰,2325
478,須賀川,2324
479,羽鳥,2313
480,田浦,2292
481,燕三条,2285
482,相模湖,2277
483,宝積寺,2240
484,本庄早稲田,2218
485,直江津,2203
486,酒折,2203
487,見附,2186
488,土崎,2145
489,上越妙高,2131
490,井野,2129
491,榎戸,2120
492,湯本,2115
493,亘理,2113
494,鹿沼,2109
495,寺尾,2088
496,塩山,2086
497,結城,2079
498,大曲,2070
499,越後石山,2063
500,木下,2061
501,小牛田,2056
502,下諏訪,2056
503,金子,2030
504,求名,2013
505,小林,1975
506,植田,1943
507,関屋,1939
508,今井,1920
509,荻川,1912
510,八日市場,1861
511,水沢,1853
512,倉賀野,1841
513,南福島,1833
514,磯原,1827
515,三条,1820
516,二本松,1807
517,東新潟,1799
518,六日町,1794
519,本宮,1793
520,旭,1793
521,山梨市,1788
522,沼田,1783
523,村井,1783
524,小諸,1781
525,安中,1771
526,巌根,1767
527,館山,1692
528,仙北町,1688
529,追分,1675
530,本納,1670
531,村上,1663
532,群馬総社,1659
533,前橋大島,1651
534,四方津,1641
535,八丁畷,1638
536,南松本,1630
537,鹿島台,1624
538,北高崎,1624
539,柏崎,1623
540,大原,1598
541,国定,1583
542,北山形,1581
543,川中島,1559
544,かみのやま温泉,1551
545,小淵沢,1532
546,青堀,1530
547,平田,1527
548,天童,1516
549,吉田,1514
550,浦佐,1467
551,鶴田,1460
552,新庄,1448
553,高城町,1444
554,横芝,1406
555,岩間,1372
556,笠間,1372
557,早川,1368
558,安房鴨川,1367
559,猿橋,1358
560,赤湯,1352
561,さくらんぼ東根,1351
562,新崎,1347
563,西川越,1344
564,信濃大町,1283
565,小千谷,1282
566,小見川,1279
567,岩村田,1261
568,豊野,1260
569,岩宿,1243
570,野崎,1242
571,群馬藤岡,1237
572,横手,1225
573,大形,1219
574,新茂原,1213
575,矢本,1207
576,中条,1191
577,鶴岡,1187
578,高浜,1179
579,酒田,1173
580,常陸太田,1172
581,本八戸,1171
582,今市,1165
583,群馬八幡,1156
584,松川,1122
585,塩崎,1120
586,穂高,1118
587,相馬,1115
588,磯部,1112
589,羽後本荘,1109
590,勝浦,1098
591,日光,1098
592,五泉,1093
593,早通,1092
594,大貫,1080
595,安茂里,1079
596,矢吹,1077
597,くりこま高原,1077
598,石鳥谷,1074
599,岩瀬,1073
600,国府多賀城,1068
601,八木原,1066
602,内郷,1066
603,矢代田,1064
604,永田,1059
605,明科,1053
606,青山,1051
607,松島海岸,1046
608,蔵王,1045
609,村山,1034
610,ガーラ湯沢,1029
611,水沢江刺,1017
612,中込,1015
613,飯山,990
614,村崎野,987
615,さつき野,987
616,鹿島神宮,979
617,松尾,979
618,伊達,976
619,原ノ町,975
620,宮内,972
621,日向,970
622,豊科,964
623,燕,957
624,常陸大宮,943
625,干潟,936
626,浪岡,933
627,新花巻,931
628,寒河江,931
629,大津港,926
630,陸前山下,925
631,富士見,922
632,奥多摩,916
633,中之条,915
634,三春,914
635,大館,911
636,越後曽根,910
637,喜多方,909
638,鏡石,900
639,佐々木,890
640,南豊科,888
641,新屋,884
642,滑河,874
643,山前,873
644,白石蔵王,869
645,小出,868
646,高畠,865
647,下総神崎,860
648,勿来,857
649,五所川原,841
650,松島,834
651,川島,832
652,船引,818
653,蛇田,814
654,大石田,812
655,八郎潟,809
656,羽前山辺,797
657,安達,793
658,水原,787
659,後閑,785
660,下野大沢,782
661,二戸,781
662,七戸十和田,780
663,越生,778
664,上菅谷,765
665,一日市場,763
666,古館,761
667,上総湊,760
668,飯岡,757
669,八積,757
670,長野原草津口,755
671,北五泉,740
672,羽後牛島,737
673,毛呂,737
674,上毛高原,734
675,片岡,731
676,東福島,718
677,坂町,717
678,北松本,714
679,玉戸,705
680,犀潟,700
681,下総松崎,691
682,羽黒,677
683,小川町,665
684,西若松,656
685,花巻空港,655
686,湯沢,652
687,桑折,640
688,藤田,638
689,白河,628
690,新治,626
691,四ツ倉,624
692,辰野,611
693,猪苗代,600
694,角館,597
695,船越,596
696,松山町,596
697,日野春,590
698,山下,585
699,信濃松川,583
700,涌谷,579
701,鷹ノ巣,578
702,南中郷,577
703,塩沢,575
704,陸前赤井,574
705,金ケ崎,568
706,御宿,566
707,来迎寺,556
708,雫石,547
709,松井田,543
710,渡波,525
711,柿崎,525
712,烏山,525
713,前沢,522
714,日詰,522
715,田沢,521
716,磐城石川,520
717,山寺,516
718,浜吉田,516
719,好摩,508
720,柏矢町,507
721,東能代,506
722,十日町,505
723,瀬峰,498
724,黒田原,497
725,羽生田,496
726,分水,496
727,太東,493
728,梓橋,489
729,南三原,487
730,余目,481
731,小高,481
732,松岸,471
733,大釜,468
734,小岩井,462
735,能代,453
736,平泉,450
737,勝沼ぶどう郷,450
738,北常盤,437
739,広野,435
740,田尻,434
741,越後堀之内,433
742,久留里,425
743,大久保,423
744,鹿島サッカースタジアム,422
745,十文字,421
746,男鹿,413
747,小野新町,408
748,中萱,408
749,草野,407
750,羽前長崎,404
751,宍戸,404
752,寄居,401
753,油川,396
754,北三条,393
755,会津坂下,385
756,水上,385
757,刈和野,364
758,稲荷山,362
759,花泉,357
760,長者町,357
761,千倉,349
762,児玉,348
763,笹川,347
764,津軽新城,344
765,安田,344
766,蒲須坂,344
767,潮来,333
768,陸前小野,332
769,和田,330
770,板柳,330
771,品井沼,324
772,羽前小松,322
773,常陸大子,319
774,二ツ井,318
775,二田,314
776,鮫,311
777,石越,311
778,遠野,309
779,西目,309
780,安曇追分,307
781,左沢,306
782,安房勝山,305
783,田沢湖,304
784,白馬,300
785,鰺ケ沢,295
786,川部,293
787,井川さくら,291
788,安中榛名,290
789,聖高原,286
790,野辺地,285
791,岩井,282
792,浜金谷,278
793,藤島,277
794,瓜連,277
795,仁賀保,276
796,塩川,272
797,新地,270
798,摺沢,265
799,西松井田,263
800,釜石,258
801,有明,258
802,大更,250
803,保田,250
804,磐梯熱海,247
805,新田,244
806,宮古,243
807,東大館,240
808,六原,233
809,鳴子温泉,229
810,坂元,227
811,今泉,225
812,佐貫町,223
813,臼田,223
814,金浦,222
815,女川,222
816,横川,217
817,神宮寺,216
818,富浦,215
819,馬来田,212
820,山都,211
821,弥彦,210
822,千厩,208
823,大鰐温泉,208
824,久慈,207
825,気仙沼,205
826,久ノ浜,203
827,鹿角花輪,201
828,羽後境,201
829,陸奥鶴田,201
830,木造,200
831,岩出山,198
832,越後川口,197
833,磐城塙,197
834,西条,197
835,森岳,196
836,横田,196
837,磐城棚倉,195
838,上総興津,194
839,安房小湊,194
840,清里,192
841,象潟,188
842,小海,187
843,作並,186
844,下北,185
845,竜田,183
846,遊佐,180
847,出雲崎,179
848,寺泊,177
849,十和田南,175
850,津川,175
851,那古船形,175
852,磐城浅川,173
853,土沢,168
854,野辺山,166
855,玉川村,164
856,前谷地,163
857,大湊,162
858,最上,162
859,稲田,162
860,藤根,158
861,信濃浅野,158
862,羽後岩谷,157
863,磐梯町,156
864,野沢,156
865,福原,156
866,蟹田,152
867,神俣,151
868,戸狩野沢温泉,148
869,野蒜,147
870,鹿渡,143
871,小野,143
872,飯詰,138
873,種市,137
874,陸奥湊,136
875,横堀,135
876,安房天津,134
877,陸中山田,129
878,替佐,123
879,石打,122
880,坂北,122
881,信濃川上,120
882,真室川,117
883,泉郷,116
884,南小谷,116
885,羽黒下,111
886,小国,109
887,羽後飯塚,108
888,山方宿,107
889,あつみ温泉,106
890,八千穂,106
891,陸前豊里,99
892,ほっとゆだ,98
893,岩城みなと,97
894,府屋,95
895,早口,91
896,越後下関,90
897,羽後長野,89
898,東館,89
899,碇ケ関,87
900,富岡,86
901,津軽石,84
902,舟形,84
903,狩川,83
904,陸奥森田,81
905,袋田,81
906,太海,81
907,いわて沼宮内,80
908,江見,80
909,津南,80
910,大槌,76
911,菅谷,75
912,磐城守山,74
913,冠着,71
914,陸奥横浜,69
915,深浦,69
916,羽後亀田,67
917,峰吉川,66
918,鳴子御殿湯,64
919,上米内,62
920,甲斐大泉,62
921,会津川口,57
922,姨捨,56
923,柳津,54
924,上小川,54
925,小佐野,50
926,荒屋新町,50
927,会津宮下,41
928,向能代,40
929,森宮野原,39
930,茂市,38
931,神城,37
932,芦沢,35
933,古口,29
934,陸中川井,28
935,湯瀬温泉,26
936,あきた白神,24
937,三厩,22
938,只見,22
939,川原湯温泉,22
940,羽前椿,21
941,荻野,20
942,浪江,18
943,上野尻,16
944,横倉,15
945,相野々,11
946,信濃白鳥,9
947,川内,8
948,平滝,5
949,区界,1
